numero,numero_romano,totale_parole,parole_positive,parole_negative,punteggio
1,I,6298,12,25,-2.06
2,II,4456,17,28,-2.47
3,III,5400,26,19,1.3
4,IV,5380,36,48,-2.23
5,V,5160,19,19,0.0
6,VI,4891,18,19,-0.2
7,VII,6423,23,37,-2.18
8,VIII,7497,28,40,-1.6
9,IX,7265,39,39,0.0
10,X,7866,45,32,1.65
11,XI,6699,24,21,0.45
12,XII,4858,12,27,-3.09
13,XIII,5352,26,30,-0.75
14,XIV,5629,22,11,1.95
15,XV,5705,24,11,2.28
16,XVI,5382,16,11,0.93
17,XVII,5639,21,22,-0.18
18,XVIII,5213,20,13,1.34
19,XIX,5103,23,13,1.96
20,XX,4867,21,54,-6.78
21,XXI,5079,56,55,0.2
22,XXII,4282,14,8,1.4
23,XXIII,6235,69,26,6.9
24,XXIV,9005,78,40,4.22
25,XXV,4967,36,24,2.42
26,XXVI,5350,29,20,1.68
27,XXVII,5639,13,21,-1.42
28,XXVIII,7567,9,71,-8.19
29,XXIX,5020,27,33,-1.2
30,XXX,4254,15,19,-0.94
31,XXXI,6248,16,74,-9.28
32,XXXII,6555,21,56,-5.34
33,XXXIII,7062,26,48,-3.12
34,XXXIV,7526,36,66,-3.99
35,XXXV,4659,39,32,1.5
36,XXXVI,6747,68,44,3.56
37,XXXVII,4824,19,29,-2.07
38,XXXVIII,6282,39,36,0.48
