capitolo,numero_romano,personaggio,numero_frasi,totale_parole,parole_positive,parole_negative,punteggio
1,I,Renzo,2,58,1,0,17.241379310344826
1,I,Lucia,2,44,0,0,0.0
1,I,Innominato,0,0,0,0,
2,II,Renzo,43,983,1,7,-6.103763987792472
2,II,Lucia,21,399,2,2,0.0
2,II,Innominato,0,0,0,0,
3,III,Renzo,26,720,8,1,9.722222222222223
3,III,Lucia,27,847,14,4,11.806375442739078
3,III,Innominato,0,0,0,0,
4,IV,Renzo,0,0,0,0,
4,IV,Lucia,3,69,0,0,0.0
4,IV,Innominato,0,0,0,0,
5,V,Renzo,7,165,0,0,0.0
5,V,Lucia,4,52,0,1,-19.230769230769234
5,V,Innominato,0,0,0,0,
6,VI,Renzo,30,482,1,2,-2.074688796680498
6,VI,Lucia,20,402,1,0,2.487562189054726
6,VI,Innominato,0,0,0,0,
7,VII,Renzo,35,948,1,6,-5.274261603375527
7,VII,Lucia,25,596,5,7,-3.3557046979865772
7,VII,Innominato,0,0,0,0,
8,VIII,Renzo,20,590,2,4,-3.389830508474576
8,VIII,Lucia,19,638,2,5,-4.702194357366771
8,VIII,Innominato,0,0,0,0,
9,IX,Renzo,5,187,0,0,0.0
9,IX,Lucia,14,391,2,0,5.115089514066496
9,IX,Innominato,0,0,0,0,
10,X,Renzo,1,48,0,1,-20.833333333333332
10,X,Lucia,5,225,1,2,-4.444444444444445
10,X,Innominato,0,0,0,0,
11,XI,Renzo,19,778,3,2,1.2853470437017993
11,XI,Lucia,6,300,1,1,0.0
11,XI,Innominato,0,0,0,0,
12,XII,Renzo,9,302,0,1,-3.3112582781456954
12,XII,Lucia,0,0,0,0,
12,XII,Innominato,0,0,0,0,
13,XIII,Renzo,10,385,2,1,2.5974025974025974
13,XIII,Lucia,0,0,0,0,
13,XIII,Innominato,0,0,0,0,
14,XIV,Renzo,50,1160,4,3,0.8620689655172413
14,XIV,Lucia,1,28,0,0,0.0
14,XIV,Innominato,0,0,0,0,
15,XV,Renzo,47,1093,6,2,3.6596523330283626
15,XV,Lucia,0,0,0,0,
15,XV,Innominato,0,0,0,0,
16,XVI,Renzo,22,719,1,0,1.3908205841446453
16,XVI,Lucia,0,0,0,0,
16,XVI,Innominato,0,0,0,0,
17,XVII,Renzo,26,874,0,2,-2.288329519450801
17,XVII,Lucia,3,39,1,1,0.0
17,XVII,Innominato,0,0,0,0,
18,XVIII,Renzo,13,705,3,2,1.4184397163120568
18,XVIII,Lucia,9,420,3,0,7.142857142857142
18,XVIII,Innominato,0,0,0,0,
19,XIX,Renzo,2,20,0,0,0.0
19,XIX,Lucia,1,18,0,0,0.0
19,XIX,Innominato,2,98,1,0,10.204081632653061
20,XX,Renzo,0,0,0,0,
20,XX,Lucia,19,759,5,5,0.0
20,XX,Innominato,11,410,1,0,2.4390243902439024
21,XXI,Renzo,0,0,0,0,
21,XXI,Lucia,20,532,5,10,-9.398496240601503
21,XXI,Innominato,11,289,2,4,-6.920415224913495
22,XXII,Renzo,0,0,0,0,
22,XXII,Lucia,2,110,0,0,0.0
22,XXII,Innominato,1,46,0,0,0.0
23,XXIII,Renzo,0,0,0,0,
23,XXIII,Lucia,8,301,2,0,6.644518272425249
23,XXIII,Innominato,29,1191,9,5,3.3585222502099077
24,XXIV,Renzo,4,99,1,0,10.101010101010102
24,XXIV,Lucia,50,1553,18,7,7.083065035415325
24,XXIV,Innominato,16,580,5,3,3.4482758620689653
25,XXV,Renzo,2,69,1,0,14.492753623188406
25,XXV,Lucia,19,684,4,2,2.923976608187134
25,XXV,Innominato,1,56,0,0,0.0
26,XXVI,Renzo,9,303,2,0,6.600660066006601
26,XXVI,Lucia,16,522,5,1,7.662835249042145
26,XXVI,Innominato,2,68,0,0,0.0
27,XXVII,Renzo,12,396,0,0,0.0
27,XXVII,Lucia,13,539,6,5,1.8552875695732838
27,XXVII,Innominato,0,0,0,0,
28,XXVIII,Renzo,0,0,0,0,
28,XXVIII,Lucia,0,0,0,0,
28,XXVIII,Innominato,0,0,0,0,
29,XXIX,Renzo,0,0,0,0,
29,XXIX,Lucia,2,112,2,1,8.928571428571429
29,XXIX,Innominato,6,291,1,0,3.4364261168384878
30,XXX,Renzo,0,0,0,0,
30,XXX,Lucia,6,109,1,1,0.0
30,XXX,Innominato,14,289,1,1,0.0
31,XXXI,Renzo,0,0,0,0,
31,XXXI,Lucia,0,0,0,0,
31,XXXI,Innominato,0,0,0,0,
32,XXXII,Renzo,0,0,0,0,
32,XXXII,Lucia,0,0,0,0,
32,XXXII,Innominato,0,0,0,0,
33,XXXIII,Renzo,31,1016,5,6,-0.984251968503937
33,XXXIII,Lucia,8,297,0,1,-3.3670033670033668
33,XXXIII,Innominato,0,0,0,0,
34,XXXIV,Renzo,45,1569,9,10,-0.6373486297004461
34,XXXIV,Lucia,1,26,0,0,0.0
34,XXXIV,Innominato,0,0,0,0,
35,XXXV,Renzo,27,747,7,4,4.016064257028112
35,XXXV,Lucia,9,250,1,3,-8.0
35,XXXV,Innominato,0,0,0,0,
36,XXXVI,Renzo,41,846,10,7,3.5460992907801416
36,XXXVI,Lucia,36,783,8,13,-6.385696040868455
36,XXXVI,Innominato,0,0,0,0,
37,XXXVII,Renzo,21,1034,3,4,-0.9671179883945842
37,XXXVII,Lucia,9,510,3,7,-7.8431372549019605
37,XXXVII,Innominato,0,0,0,0,
38,XXXVIII,Renzo,32,791,4,6,-2.5284450063211126
38,XXXVIII,Lucia,14,503,2,1,1.9880715705765406
38,XXXVIII,Innominato,0,0,0,0,
